Cod Interno	Codigo Barras	Descripcion	Contenido	UNIDADES	Est Mer 7 Descripcion	Marca	Fabricante	TOP_DESCRIPCION	MAX_DESCRIPCION	Dia de FECHA_ULT_CAMBIO	USUARIO_ULT_CAMBIO
	813236020458	SUPLEMENTO MIDWAY C/90 HYDROXY	90	1	VITAMINA OUTRO	OUTRA MARCA	OUTRO FABRICANTE	SUPLEMENTO ALIMENTAR MIDWAY HY	HYDROXY 6 USA TERMOGENICO MIDWAY 90C S/SABOR	24 de setembro de 2024	gabriel.morais@scanntech.com
	813236020748	SUPLEMENTO MIDWAY KAKA FUNCIONAL 120CAPS	120	1	MULTIVITAMINICO	MIDWAY	MIDWAY LABS			11 de junho de 2026	mborgatto@scanntech.com
	850054952226	SUPL ALIM VITGOLD VITAMINA MENAQUINONA MCG CAPSULA 60UN	60	0	VITAMINA OUTRO	VITGOLD	OUTRO FABRICANTE	Vitamina K2 MK-7 (Menaquinona-7) 100mcg Vitgold 60 caps.	Vitamina K2 MK-7 (Menaquinona-7) 100mcg Vitgold 60 caps.	24 de setembro de 2026	gabriel.morais@scanntech.com
	850054952233	SUPL ALIM VITGOLD VITAMINA MCG CAPSULA 60UN	60	0	VITAMINA OUTRO	VITGOLD	OUTRO FABRICANTE	Vitamina K2 60mcg + Vitamina D3 2000UI Vitgold 60 caps.	Vitamina K2 60mcg + Vitamina D3 2000UI Vitgold 60 caps.	24 de setembro de 2026	gabriel.morais@scanntech.com
	850054952417	SUPL ALIM VITGOLD ULTRA CALCIO VITAMINA CAPSULA 60UN	60	0	VITAMINA OUTRO	VITGOLD	OUTRO FABRICANTE	Ultra Cálcio 1200mg + Vitamina D3 1000UI Vitgold 60 cápsula	Ultra Cálcio 1200mg + Vitamina D3 1000UI Vitgold 60 cápsula	24 de setembro de 2026	gabriel.morais@scanntech.com
	850054952516	SUPL ALIM VITGOLD VITAMINA E CAPSULA 100UN	100	0	VITAMINA OUTRO	VITGOLD	OUTRO FABRICANTE	Vitamina E 400 UI Vitgold 100 caps.	Vitamina E 400 UI Vitgold 100 caps.	24 de setembro de 2026	gabriel.morais@scanntech.com
	850054952523	SUPL ALIM VITGOLD VITAMINA E CAPSULA 60UN	60	0	VITAMINA OUTRO	VITGOLD	OUTRO FABRICANTE	Vitamina E 400 UI Vitgold 60 caps.	Vitamina E 400 UI Vitgold 60 caps.	24 de setembro de 2026	gabriel.morais@scanntech.com
	850054952530	SUPL ALIM VITGOLD ZINCO CAPSULA 100UN	100	0	VITAMINA OUTRO	VITGOLD	OUTRO FABRICANTE	Zinco 25mg Vitgold 100 Cápsulas	Zinco 25mg Vitgold 100 Cápsulas	24 de setembro de 2026	gabriel.morais@scanntech.com
	850054952547	SUPL ALIM VIT ACIDO HIALURONICO VITAMINA CPS 60UN	60	0	VITAMINA OUTRO	VIT	VIT	ACIDO HIALURONICO + VITAMINA C 60CPS	ACIDO HIALURONICO/VITAMINA C 60 CAPS VIT GOLD	24 de setembro de 2026	gabriel.morais@scanntech.com
	850054952578	GLUCOSAMINE VIT GOLD MSM 60CPS	60	0	MULTIVITAMINICO	VIT GOLD	OUTRO FABRICANTE	GLUCOSAMINE CHONDROITIN MSM+COLLAGEN TYPE II 60 CAPS VIT GO	GLUCOSAMINE CHONDROITIN MSM+COLLAGEN TYPE II 60 CAPS VIT GO	30 de maio de 2025	gabriel.morais@scanntech.com
	858208007129	SU V B FUS T 120CPS	120	1	MULTIVITAMINICO	BARIATRIC FUSION	BARIATRIC FUSION	Bariatric Fusion Plus Sabor Frutas Tropicais com 120 Pastil	BARIATRIC FUSION PLUS PAST MA FR T X 120	16 de dezembro de 2025	dchagas@scanntech.com
	894603002390	SUPLEMENTO ALIM FUSION PLUS S/LARANJA FRASCO 90 PASTILHAS	90	1	VITAMINA OUTRO	FUSION PLUS	BARIATRIC FUSION	Bariatric Fusion Plus Sabor Laranja com 120 Pastilhas Masti	Bariatric Fusion Plus Sabor Laranja Com 120 Pastilhas Masti	16 de dezembro de 2025	dchagas@scanntech.com
	1111000020451	VITAMINA DE FRUTA PRECO BOM SABORES 1UNID	1	1	VITAMINA OUTRO	OUTRA MARCA	OUTRO FABRICANTE			19 de setembro de 2024	jessica.evangelista@scanntech.com
	1286508384821	DESINCHA 500MG 90CPS	1	1	VITAMINA OUTRO	OUTRA MARCA	OUTRO FABRICANTE	DESINCHÁ 500MG C/90CPS	CHA DESINCHA 500MG C/ 90CAPS	24 de setembro de 2024	gabriel.morais@scanntech.com
	1789104503998	SUPL ALIM MAGNESIA BISURADA MENT ENV 10CPRS	10	1	VITAMINA OUTRO	MAGNESIA BISURADA	PFIZER	MAGNESIA BISUR MENT ENV 10PAST	MAGNESIA BISUR MENT ENV 10PAST	29 de maio de 2026	lucas.santos@scanntech.com
	3282770037098	DUCRAY ANACAPS 30CPS	30	1	VITAMINA OUTRO	DUCRAY	AURAQUIMICA	SUPLEMENTO DUCRAY ANACAP TRI ACTI C/ 30CAP	SUPLEMENTO DUCRAY ANACAP TRI ACTI C/ 30CAP	11 de junho de 2026	dchagas@scanntech.com
	3282770104950	SUPL ALIM MULT DUCRAY ANACAPS ACTIVE+ X 30CAPS	30	1	MULTIVITAMINICO	DUCRAY	AURAQUIMICA	ANACAPS ACTIVC/30 CAPS	SUPLEMENTO ALIMENTAR CABELOS E UNHAS ANACAPS ACTIV+ 30 CAPS	11 de junho de 2026	jessica.evangelista@scanntech.com
	3282770149630	SUPL ALIM MULT DOCTAR FORCECAPS X 30CAPS (DAR)	30	1	MULTIVITAMINICO	DOCTAR DAR	AURAQUIMICA	Cabelo e Unhas Darrow Doctar Forcecaps com 30 Comprimidos	Cabelo e Unhas Darrow Doctar Forcecaps com 30 Comprimidos	11 de junho de 2026	jessica.evangelista@scanntech.com
	3282770149647	DOCTAR  X 90 CPR (PRF)	90	1	VITAMINA OUTRO	DOCTAR PRF	AURAQUIMICA	Cabelo e Unhas Darrow Doctar Forcecaps com 90 Comprimidos	Cabelo E Unhas Darrow Doctar Forcecaps Com 90 Comprimidos	11 de junho de 2026	apitel@scanntech.com
	3282779138758	SUPL ALIM MULT DUCRAY ANACAPS X 90CAPS	90	1	MULTIVITAMINICO	DUCRAY	AURAQUIMICA	ANACAPS ACTIV+C/3X30 CAPS L3P2 ESP	DUCRAY ANACAPS ACTIV+ LEVE 3 PG 2 3 CAIXAS COM 30 CAPSULAS	11 de junho de 2026	jessica.evangelista@scanntech.com
	3461028301000	SUPL ALIM ETAT PUR SERUM FACIAL VITAMINA ATIVO 15ML	15	1	VITAMINA OUTRO	ETAT PUR	NAOS	Etat Pur Sérum Facial Vitamina C 10% 15ml	ETAT PUR Sérum Facial Vitamina C 10%, Ativo Puro15ml	24 de setembro de 2026	gabriel.morais@scanntech.com
	3653496233765	SUPL ALIM METILCOBALAMINA VITAMINA B12 1UN	1	1	VITAMINA OUTRO	METILCOBALAMINA	VITERNAT	VITAMINA B12 METILCOBALAMINA P	VITAMINA B12 METILCOBALAMINA P	6 de maio de 2026	lucas.santos@scanntech.com
	3667208000422	VITAMINA C+ARGININA TARGIFOR C 1G 32CPR (OPE)	32	1	VITAMINA OUTRO	TARGIFOR C (OPE)	OPELLA	TARGIFOR C 1-1G 32 COMPRIMIDOS EFERVESCENTES	CJ TARGIFOR + C LARANJA 32CPR EFERV L+P-		gsilva@scanntech.com
	4008500018064	REDOXITOS 30MG X 25 CPR (BAY)	25	1	VITAMINA OUTRO	REDOXITOS BAY	BAYER	Redoxitos Vitamina C 30mg Sabor Morango com 25 Gomas Mastig	REDOXON KIDS MORANGO C 25 GOMAS (JUNTO COM AS VITAMINAS KIDS	17 de dezembro de 2025	apitel@scanntech.com
	4014177438500	COENZIMA Q10 500MG NEO PREMIUM 60 CAPSULAS	60	1	VITAMINA OUTRO	NEO PREMIUM	MIDWAY LABS	NEO PREMIUM COENZIMA Q10 500MG 60 CAPS	NEO PREMIUM COENZIMA Q10 500MG 60 CAPS	11 de junho de 2026	jessica.evangelista@scanntech.com
	4021447206370	SUPL ALIM UNNA VARICEX BANDAGEM DE OXIDO DE ZINCO	1	0	VITAMINA OUTRO	UNNA	BRASILIA ALIMENTOS	BOTA DE UNNA VENOSAN  VARICEX 10CM X 10M	VARICEX S - BANDAGEM DE OXIDO DE ZINCO 10 CM X 10 M (BOTA D	24 de setembro de 2026	gabriel.morais@scanntech.com
	5060786981066	SUPL ALIM SUPRASORB PRO ALGINATO DE CALCIO PRATA	1	1	VITAMINA OUTRO	OUTRA MARCA	OUTRO FABRICANTE	SUPRASORB A+AG PRO-ALGINATO	SUPRASORB A+AG PRO-ALGINATO DE CALCIO COM PRATA E CELULOSE 1	24 de setembro de 2026	gabriel.morais@scanntech.com
	5265497498791	SUPL ALIM OMEGA 3 1G	1	0	VITAMINA OUTRO	OMEGA 3	VIDORA	MASCARA DUPLA TNT C ELSTICO NA	FR GER GERIAMAX ECONOMICA G 20	24 de setembro de 2026	gabriel.morais@scanntech.com
	5415150311862	CAPSULA BELMIO YUCATAN C/10 52G	52	1	VITAMINA OUTRO	OUTRA MARCA	OUTRO FABRICANTE			19 de setembro de 2024	jessica.evangelista@scanntech.com
	5420036971382	SUPL ALIM CALFON CALCIO 200ML	200	1	VITAMINA OUTRO	CALFON	ELANCO	CALFON 200ML	CALFON INJETAVEL, FR 200 ML (LOTE: 011/2)	24 de setembro de 2026	gabriel.morais@scanntech.com
	5420036971399	SUPL ALIM CALFON CALCIO 500ML	500	1	VITAMINA OUTRO	CALFON	ELANCO	CALCIO CALFON 500 ML	CALFON INJETAVEL, FR 500 ML (LOTE: 001/23)	24 de setembro de 2026	gabriel.morais@scanntech.com
	5601929001496	CAPS COMP BICAF	60	1	VITAMINA OUTRO	OUTRA MARCA	OUTRO FABRICANTE	Caps Comp Bicaf	CAPS BICAFE PREMIUM 60G PURPLE	19 de setembro de 2024	jessica.evangelista@scanntech.com
	5609750670010	MACA PERUANA 400MG 60CAPS	60	1	VITAMINA OUTRO	MACA PERUANA	OUTRO FABRICANTE	MACA PERUANA 400MG 60CAPS	CAPSULAS DE MACA PERUANA 400MG C/60 CAP APIS LUZ	19 de fevereiro de 2025	giovana.marques@scanntech.com
	5942916402699	TRIBULLUS 1000MG BULL PHAMA C/60CAPS	60	1	VITAMINA OUTRO	OUTRA MARCA	OUTRO FABRICANTE	TRIBULLUS BULL PHAMA 1000MG C/60CAPS	TRIBULLUS + MACA + TADALA BULL PHARMA 60 CPS ( UN )	21 de fevereiro de 2025	giovana.marques@scanntech.com
	6099639176556	SUPL ALIM OMEGA 3 GOLD LAB CAP 120UN	120	0	VITAMINA OUTRO	OMEGA 3	VIDORA	OMEGA 3 1400MG 120CAP	OMEGA 3 1400MG 120 CAPS - GOLD LAB	24 de setembro de 2026	gabriel.morais@scanntech.com
	6192055517696	SUPL ALIM MULT VIT VEM ARGININA POLIVITAMINICO	1	0	MULTIVITAMINICO	VIT	VIT	VEM VIT ARGININA POLIVITAMINICO	VEM VIT ARGININA POLIVITAMINICO	24 de setembro de 2026	gabriel.morais@scanntech.com
	6787421560101	EXTRATO NATURAL DE ERVAS SAUDE DO FIGADO 300ML	300	1	VITAMINA OUTRO	OUTRA MARCA	OUTRO FABRICANTE	SAUDE DO FIGADO 300ML	EXTRATO NATURAL DE ERVAS SAUDE DO FIGADO BIO ERVAS 300 ML	19 de setembro de 2024	jessica.evangelista@scanntech.com
	7291930000748	SUPL ALIM MULT FORTHIBEN CABELOS E UNHAS 60 CAPS (VDO)	60	1	MULTIVITAMINICO	FORTHIBEN VDO	VIDORA	FORTHIBEN CABELOS E UNHAS 60CA .	$ FORTHIBEN CABELOS E UNHAS 60CAPS	27 de maio de 2026	marcela.oliveira@scanntech.com
	7365323327214	VITAMULT OMEGA 3 1000MG C/60 CAPS	60	1	MULTIVITAMINICO	VITAMULT	OUTRO FABRICANTE			16 de dezembro de 2025	dchagas@scanntech.com
	7365323327764	SUPL ALIM MULT BIOENERGIN VITAMINA E 400UI 60CAPS	60	1	MULTIVITAMINICO	BIOENERGIN	PREVENT PHARMA	BIOENERGIN VITAMINA E 400UI 60CAPS SOROCAP	BIOENERGIN VITAMINA E 400UI 60CAPS SOROCAP	15 de abril de 2026	marcos.oel@scanntech.com
	7365323328204	SUPL ALIM BIOENERGIN OMEGA 3 KIDS 120CAPS	120	1	VITAMINA OUTRO	BIOENERGIN	PREVENT PHARMA	BIOENERGIN OMEGA 3 KIDS 120CAPS	BIOENERGIN OMEGA 3 KIDS 120CAPS	22 de abril de 2026	luelen.santos@scanntech.com
	7365323329362	VITAMULT CALCIO MDK C/60 CAPS	60	1	MULTIVITAMINICO	VITAMULT	OUTRO FABRICANTE			24 de setembro de 2024	gabriel.morais@scanntech.com
	7448070103581	SUPL ALIM MULT CODFLEX X 30CAPS	30	1	MULTIVITAMINICO	CODFLEX	OUTRO FABRICANTE	CLODFLEX C/30CAPS	CLODFLEX C/30CAPS	28 de julho de 2026	jessica.evangelista@scanntech.com
	7448070103666	SUPL ALIM MULT RODOLEX COLAG+ACIDO HIALURONICO 30CAPS	30	1	MULTIVITAMINICO	Por Defecto	OUTRO FABRICANTE	RODOFLEX C/30 CPS	RODOFLEX C/30 CPS	7 de maio de 2026	bruna.paiva@scanntech.com
	7452398717702	LEVEDO CERVEJA NUTRILIFE 150G	150	1	VITAMINA OUTRO	OUTRA MARCA	OUTRO FABRICANTE			24 de setembro de 2024	gabriel.morais@scanntech.com
	7500435173773	CEBION 1G LARANJA 30 COMPRIMIDOS MERCK C/3 TUBOS	1	1	VITAMINA OUTRO	CEBION MER	MERCK	CEBION 1G LAR 30C MER	CEBION 1G LAR 30C MER	11 de junho de 2026	jessica.evangelista@scanntech.com
	7500435185011	FEMIBION  X 28 CPR (P&G)	28	1	VITAMINA OUTRO	FEMIBION P&G	P&G	Femibion 1 Multivitamínico Planejamento e Início da Gravide	FEMIBION 1 PLANEJAMENTO E INICIO DE GRAVIDEZ SEM 0-12 28CPR	17 de dezembro de 2025	apitel@scanntech.com
	7500435185028	FEMIBION  X 1 CPR (P&G)	1	1	VITAMINA OUTRO	FEMIBION P&G	P&G	Femibion 2 Multivitamínico para Gravidez com 28 Comprimidos	FEMIBION 2 C/28 COMP + 28 CAPS (LIB) ( UN )	17 de dezembro de 2025	apitel@scanntech.com
	7500435185035	FEMIBION  X 28 CPR (P&G)	28	1	VITAMINA OUTRO	FEMIBION P&G	P&G	Femibion 3 Multivitamínico para Gravidez com 28 Comprimidos	FEMIBION 3 28 CPR + 28 CPS ( UN )	17 de dezembro de 2025	apitel@scanntech.com
	7500435209069	SONOZZ  X 30 CPR (P&G)	30	1	VITAMINA OUTRO	SONOZZ P&G	P&G	Vick SonoZzz Melatonina com 30 Comprimidos Sublinguais	FRALDA PANVEL BABY P. SEC BAG XG C/58	17 de dezembro de 2025	apitel@scanntech.com
	7500435209076	SONOZZZ  X 60 CPR ()	60	1	VITAMINA OUTRO	SONOZZZ	OUTRO FABRICANTE	Vick SonoZzz Melatonina com 60 Comprimidos Sublinguais	SonoZzz Melatonina ajuda a regular o seu sono. 60 comprimid	17 de dezembro de 2025	apitel@scanntech.com
	7500435225434	CITONEURIN 1000MCG  X 60 CPRS (P&G)	60	60	VITAMINA OUTRO	CITONEURIN P&G	P&G	Citoneurin Control 1000 com 60 Comprimidos Revestidos	CITONEURIN CONTROL 1000MCG 60CPR REV - CIAN + PIRI + TIAM	18 de junho de 2026	jessica.evangelista@scanntech.com
	7500435225458	CITONEURIN 1000MCG  X 90 CPRS (P&G)	90	90	VITAMINA OUTRO	CITONEURIN P&G	P&G	Citoneurin Control 1000 com 90 Comprimidos Revestidos	CITONEURIN CONTROL 1000 1+100+50MG C/ 90 CP REV	18 de junho de 2026	jessica.evangelista@scanntech.com
	7500435231510	SUPL ALIM CEBION 1G X 10 CPRS (MER)	10	10	VITAMINA OUTRO	CEBION MER	MERCK	Cebion Laranja 1g com 10 Comprimidos Efervescentes	CEBION 1G LARAN 10CP EFERV, 1 G C/ 10 CP EFERV LARANJ	18 de junho de 2026	jessica.evangelista@scanntech.com
	7500435231527	CEBION 1G X 1 CPR (MER)	1	1	VITAMINA OUTRO	CEBION MER	MERCK	Cebion Tripla Ação Laranja 1g com 30 Comprimidos Efervescen	CEBION 1G C/ 30 COMP EFV SB LARANJA S/ ACUCAR ( UN )	17 de dezembro de 2025	apitel@scanntech.com
	7500435231534	CEBION 1G X 10 CPR (MER)	10	1	VITAMINA OUTRO	CEBION MER	MERCK	Cebion Tripla Ação Laranja 1g com 10 Comprimidos Efervescen	CEBION TRIPLA ACAO VIT C1 G +ZINCO+VIT D SB LARAN C/10 COMP	17 de dezembro de 2025	apitel@scanntech.com
	7500435231558	CEBION 1G X 30 CPR (MER)	30	1	VITAMINA OUTRO	CEBION MER	MERCK	Cebion Laranja 1g com 30 Comprimidos Efervescentes	CEBION 1G LARANJA 30CP PROCTER 1g tb 30 comp efev sb laranja	17 de dezembro de 2025	apitel@scanntech.com
	7500435234467	CEBION 500MG X 30 CPR (MER)	30	1	VITAMINA OUTRO	CEBION MER	MERCK	CEBION PARA LEVARC/30 CPR MAST 500MG+5MG LARANJ	CEBION 30 CPR MASTIG VIT C 500 MG + ZINCO 5 MG ( CX )	17 de dezembro de 2025	apitel@scanntech.com
	7500435234474	VITAMINA C CERBION LARANJA 500MG 30UN	30	1	VITAMINA OUTRO	CEBION MER	MERCK	CEBION PARA LEVAR8 CPR MAST 500MG+5MG LARANJA	CEBION VITAMINA C+ZINCO CPR MAST LAR 500.0 MG  X 64 /5	19 de setembro de 2024	jessica.evangelista@scanntech.com
	7500435234481	CEBION 500MG X 4 CPR (MER)	4	1	VITAMINA OUTRO	CEBION MER	MERCK	CEBION PARA LEVARC/4 CPR MAST 500MG+5MG LARANJA	CEBION VITAMINA C+ZINCO CPR MAST LAR 500.0 MG  X 48 /5	17 de dezembro de 2025	apitel@scanntech.com
	7500435234511	CEBION 500MG X 4 CPR (MER)	4	1	VITAMINA OUTRO	CEBION MER	MERCK	Cebion Vitamina C 500mg + Zinco 5mg Laranja com 4 Comprimid	Cebion Vitamina C 500mg + Zinco 5mg Laranja com 4 Comprimid	17 de dezembro de 2025	apitel@scanntech.com
	7500435239004	CEBION 500MG X 8 CPR (MER)	8	1	VITAMINA OUTRO	CEBION MER	MERCK	Cebion Vitamina C 500mg + Zinco 5mg Laranja com 8 Comprimid	Cebion Vitamina C 500mg + Zinco 5mg Laranja com 8 Comprimid	17 de dezembro de 2025	apitel@scanntech.com
	7500435246859	SUPLEMENTO ALIM CITONEURIN COMPLEXO B CAIXA 90CPS	90	1	VITAMINA OUTRO	CITONEURIN P&G	P&G	CITONEURIN COMPLEXO B90 CAPS	CITONEURIN COMPLEXO B C/90 CPS (LIB) ( UN )	16 de dezembro de 2025	jessica.evangelista@scanntech.com
	7500435246866	COMPLEXO B CITONEURIN 60 CAPS	60	1	VITAMINA OUTRO	CITONEURIN P&G	P&G	CITONEURIN COMPLEXO B60 CAPS	CITONEURIN COMPLEXO B  60 DRG CITONEURIN COMPLEXO B C/ 60 D	16 de dezembro de 2025	jessica.evangelista@scanntech.com
	7506295306078	BRANQUEAMENTO DENTAL ORAL B3D WH STRIPS 1UN	1	1	VITAMINA OUTRO	OUTRA MARCA	OUTRO FABRICANTE	FITA BRANQ WHITE STRIP ORAL-B	FITA D ORAL B 3DWHITE 28UN BRANQUEADORA(E)	11 de setembro de 2026	amanda.silva@scanntech.com
	7555103755515	BAIXA BARRIGA 15G	15	1	VITAMINA OUTRO	OUTRA MARCA	OUTRO FABRICANTE	BAIXA BARRIGA 15G	CHA BAIXA BARRIGA CHEIRO VERDE 15G	19 de setembro de 2024	jessica.evangelista@scanntech.com
	7610939001257	PHARMATON CAPSULAS X 30 (OPE)	30	1	VITAMINA OUTRO	PHARMATON (OPE)	OPELLA	PHARMATON C/ 30 CAP	Polivitamínico Pharmaton Vitalidade Boehringer com 30 Compr	18 de dezembro de 2025	jessica.evangelista@scanntech.com
	7610939001264	PHARMATON CAPSULAS X 100 (OPE)	100	1	VITAMINA OUTRO	PHARMATON (OPE)	OPELLA	Polivitamínico Pharmaton Vitality Boehringer com 100 Cápsul	Polivitamínico Pharmaton Vitality Boehringer com 100 Cápsul	18 de dezembro de 2025	jessica.evangelista@scanntech.com
	7610939003039	PHARMATON CAPSULAS X 60 (OPE)	60	1	VITAMINA OUTRO	PHARMATON (OPE)	OPELLA	Polivitamínico Pharmaton Vitalidade com 60 Cápsulas	Polivitamínico Pharmaton Vitalidade com 60 Cápsulas	18 de dezembro de 2025	jessica.evangelista@scanntech.com
	7684551078966	SUPL ALIM SAF GEL ALGINATO DE CALCIO E SODIO CONVATE 85G	85	0	VITAMINA OUTRO	SAF GEL	CONVATEC	SAF-GEL  85G .	SAFGEL ALGINATO DE CALCIO E SODIO 85G  CONVATE	24 de setembro de 2026	gabriel.morais@scanntech.com
	7700010016314	MACA PERUANA VIA NATURY C/60 CAPSULAS	60	1	VITAMINA OUTRO	MACA PERUANA	OUTRO FABRICANTE	VIA NATURY MACA PERUANA 60 CAPSULAS	VIA NATURY MACA PERUANA 60 CAPSULAS	31 de março de 2025	jessica.evangelista@scanntech.com
	7702133218682	VITA-C SABOR MORANGO  34G	34	1	VITAMINA OUTRO	OUTRA MARCA	OUTRO FABRICANTE			19 de setembro de 2024	jessica.evangelista@scanntech.com
	7792946717069	SUPL ALIM MAGNESIO CAPSULA QNUTRI 60UN	60	0	VITAMINA OUTRO	OUTRA MARCA	OUTRO FABRICANTE	6 MAG QNUTRI 60CP	QNUTRI 6MAG C/60 CAPS ( UN )	24 de setembro de 2026	gabriel.morais@scanntech.com
	7792946727891	FENO GREGO 700MG QNUTRI 60 CAPSULAS	60	0	VITAMINA OUTRO	FENO GREGO	OUTRO FABRICANTE	QNUTRI FENO GREGO 60 CAPS ( UN )	QNUTRI FENO GREGO 60 CAPS ( UN )	3 de dezembro de 2024	jessica.evangelista@scanntech.com
	7792946757737	TRIBULUS EXTREME FRASCO 60CPS	60	1	VITAMINA OUTRO	OUTRA MARCA	OUTRO FABRICANTE	QNUTRI TRIBULUS EXTREME C/60 CAPS ( UN )	QNUTRI TRIBULUS EXTREME C/60 CAPS ( UN )	1 de abril de 2025	giovana.marques@scanntech.com
	7795206621434	SUPL ALIM TOP NEW 20 CAPS	20	1	VITAMINA OUTRO	TOP NEW	TOP NEW SUPLEMENTOS	TOP NEW 20S	TOP NEW 20S	1 de abril de 2026	jessica.evangelista@scanntech.com
	7795293884088	EMPORIO CP SECA BARRIGA C/GOJI BERRY NATUVIVA 120CAPS	120	1	VITAMINA OUTRO	OUTRA MARCA	OUTRO FABRICANTE	SECA BARRIGA COM GOJI BERRY C/120	SECA BARRIGA C/ GOJI BERRY- 120 CAPS NATUVIVA	1 de abril de 2025	giovana.marques@scanntech.com
	7802474479787	SUPL ALIM CENTRAL NUTRITION POOL DE MAGNESIO X 90CAPS	90	1	VITAMINA OUTRO	CENTRAL NUTRITION	CENTRAL NUTRITION	POOL DE MAGNESIO C/90 DOSES	POOL DE MAGNESIO C/90 DOSES	28 de julho de 2026	jessica.evangelista@scanntech.com
	7803877001414	SUPLEMENTO ALIM SENE + PSYLLIUM EXTRATO SECO 60CPS	60	1	VITAMINA OUTRO	MULTIVITTA	MULTIVITTA	Sene + Psyllium com 90 Cápsulas	MULTIVITTA - SENE COM PSYLLIUM EXTRATO SECO 60 CAPS	16 de dezembro de 2025	dchagas@scanntech.com
	7803877003678	SUPLEMEMTO OLEO DE SEMENTE DE ABOBORA 1000MG COM 60CAPS	60	0	MULTIVITAMINICO	OUTRA MARCA	OUTRO FABRICANTE	Óleo de Semente de Abobora 1000mg com 60 Cápsulas	OLEO DE SEMENTE DE ABOBORA CAPSULAS 1000.0 MG  X 60	14 de janeiro de 2025	lferreira@scanntech.com
	7803877003852	LAUTON 500MG X 60 CPR ()	60	1	MULTIVITAMINICO	LAUTON	OUTRO FABRICANTE	Boro Decahidratado 500mg com 60 Cápsulas	Boro Decahidratado 500mg com 60 Cápsulas	17 de dezembro de 2025	apitel@scanntech.com
	7803877003944	SUPL ALIM AMORA MIURA VIT E MAGNESIO SUNFOOD 100G	100	1	VITAMINA OUTRO	AMORA MIURA	EXPLEND NUTRACEUTICOS	Amora Miúra + Vit. E + Vit. B6 + Magnésio Sunfood com 60 Cá	Amora Miúra + Vit. E + Vit. B6 + Magnésio Sunfood Com 60 Cá		gabriel.morais@scanntech.com
	7803877004064	TESTOBOLIC SUNFOOD SUPL 3100 MG C/120CAP	120	1	VITAMINA OUTRO	SUNFOOD	OUTRO FABRICANTE	TESTOBOLIC SUNFOOD SUPL 3100 MG C/120CAP	SUNFOOD TESTOBOLIC GH +  3000MG 120CAPS	16 de dezembro de 2025	dchagas@scanntech.com
	7803877004170	SUPL ALIM MULTIVITTA CARVAO ATIVADO 700MG 60CAPS	60	1	VITAMINA OUTRO	MULTIVITTA	OUTRO FABRICANTE	CARVAO ATIVADO 700MG MULTIVITTA	CARVAO ATIVADO CAPSULAS 700.0 MG  X 60	24 de setembro de 2026	lucas.santos@scanntech.com
	7858628240369	SUPL ALIM CASTANHA DA INDIA 500MG 60CP	60	1	VITAMINA OUTRO	CASTANHA DA INDIA	OUTRO FABRICANTE	CASTANHA DA INDIA C/ 60CAPS	CASTANHA DA INDIA 500MG 60 CAPS HERBANATUS	29 de outubro de 2025	jessica.evangelista@scanntech.com
	7869576072568	SUPL ALIM MULT LINHO LEV TREONATO DE MAGNESIO 350MG 60CP	60	1	MULTIVITAMINICO	LINHOLEV LIL	LINHO LEV	Treonat 400mg com 60 Cápsulas	TREONAT ( TREONATO) 350MG 60 CAPSULAS - LINHO LEV	16 de dezembro de 2025	jessica.evangelista@scanntech.com
	7876321001407	TRIBX 95% SAPONINS SUNFOOD 2550MG FRASCO 120CAPS	120	1	VITAMINA OUTRO	SUNFOOD	OUTRO FABRICANTE	Tribx com 120 Cápsulas	TRIBX 95% SAPONINS SUNFOOD 2550 MG C/120CAPS	16 de dezembro de 2025	dchagas@scanntech.com
	7880006785568	SUPL ALIM NORIPURUM AMPOLAS 5X5ML (TKD)	25	5	VITAMINA OUTRO	NORIPURUM TKD	TAKEDA PHARMA	NORIPURUM IV 5AMPX5ML CAR	NORIPURUM IV 5AMPX5ML CAR	27 de maio de 2026	marcela.oliveira@scanntech.com
	7890000062671	VITAMINA E MINERAL VITAFRUX OLEO LINHACA 60C	60	1	VITAMINA OUTRO	VITAFRUX	GRUPO BOTTA	BATATA PALHA VISCONTI CEB/SALS 140G	FEIJAO CARIOCA GRACEL TIPO 01 30X1KG (Duplicado)	19 de setembro de 2024	jessica.evangelista@scanntech.com
	7890000238038	VITAMINA DE ABACATE 1UNID	1	1	VITAMINA OUTRO	OUTRA MARCA	OUTRO FABRICANTE			24 de setembro de 2024	gabriel.morais@scanntech.com
	7890010419762	SUPL ALIM L TREONATO MAGNESIO CAPSULA 60UN	60	0	VITAMINA OUTRO	L TREONATO	OUTRO FABRICANTE	MAGNESIO TREONATO 500MG 60 CAP	MAGNESIO L-TREONATO C/ 60 CAPS - EMBRAS FLORA		gabriel.morais@scanntech.com
	7890011224969	SUPLEMENTO ORODIS MIX ENERGETICO VITAL ERVAS 100G	100	1	MULTIVITAMINICO	OUTRA MARCA	OUTRO FABRICANTE			1 de novembro de 2024	lferreira@scanntech.com
	7890014456350	SUPL ALIM COMPOSTO NATURAL MONJARO X 60CPRS	60	1	MULTIVITAMINICO	OUTRA MARCA	OUTRO FABRICANTE	MONJIARO SBELT 60CAPS	MONJIARO SBELT 500MG 60CPS	14 de setembro de 2026	jessica.evangelista@scanntech.com
